source,retailer,product_id,product_name,rating,submission_time,user_nickname,review_text,price
bazaarvoice,sephora_ca,2558047,Dior Forever Skin Glow,4,2025-11-27 20:10:02+00:00,JulieBBeans,"Nice hydrating foundation. A thin layer goes a long way, you can build it up but I feel it looks best applied really thinly with a brush. i have tried it with a beauty blender and it felt too heavy on my face. As someone with combination skin I do find I have to set with a loose powder in the oiler areas of my face. I use milk hydro grip underneath and set with Laura Mercier loose powder and urban decay all nighter spray. It doesn't move and doesn't separate all day. One thing to keep in mind when choosing your shade; it DOES OXIDIZE, at least on MY skin, I know everyone has different skin chemistry, so this may not be the case for everyone. I ended up going back and buying a shade lighter than what I first bought. I would recommend swatching on your neck or hand and shop around 20 min or so and see if the colour will oxidize on you too. Other than the oxidizing thing I really love it. It's pricey... but honestly one bottle lasts literally forever.",77 CAD
bazaarvoice,sephora_ca,2558005,Dior Forever Skin Glow,5,2025-11-04 05:56:27+00:00,,"As someone who does not wear makeup often, this foundation is very easy to apply and blend. Provides moderate dewy coverage.",77 CAD
bazaarvoice,sephora_ca,2558112,Dior Forever Skin Glow,5,2025-10-31 16:33:35+00:00,PatriceAhl,"I love this foundation so much!! I struggle to find nice foundations and have spent way too much money. It is beautiful, natural looking and a little goes a long way! The only downside is that the shades are tough to match. I would say I have light to medium skin, but this shade was even too dark for me. I am like a shade 2 lol! It also does oxidize so will turn a bit darker after you apply. I would just test out the shades. Love the foundation though and it doesn’t make my combo skin break out or anything. Also has pretty clean ingredients. Love it!!",77 CAD
bazaarvoice,sephora_ca,2558112,Dior Forever Skin Glow,3,2025-10-30 15:30:06+00:00,manpreet1,Really good Dior hydration foundation but it’s not matching my skin tone,77 CAD
bazaarvoice,sephora_ca,2558112,Dior Forever Skin Glow,5,2025-10-29 12:52:07+00:00,jenn2080,Beat foundation ever pricey but worth it. Will continue to buy it.,77 CAD
bazaarvoice,sephora_ca,2558328,Dior Forever Skin Glow,1,2025-10-20 01:06:41+00:00,Alaa71,they sold items used before never buy online items again,77 CAD
bazaarvoice,sephora_ca,2558047,Dior Forever Skin Glow,1,2025-09-30 23:06:18+00:00,BrettC,"I was colour matched in the store, but I thought it smelt funny when she was putting it on. I bought one anyways and took it home only to pull it out that evening and see it has been expired for over a year. My skin is already breaking out from having it on my skin from the store. Not to mention it clings to any fine lines.",77 CAD
bazaarvoice,sephora_ca,2558062,Dior Forever Skin Glow,5,2025-09-16 22:58:22+00:00,computerface21,"WOW.  Great coverage but doesn't look ""cakey"" at all.  A little goes a long long way.  Love the hydrating too.  I usually can't wait to finish work and take  makeup off.Not now.  Great long wear and stays fresh looking.This is so my new foundation.As usual CD didn't disappoint. All makeup I now use is Dior.  Totally boss.",77 CAD
bazaarvoice,sephora_ca,2557999,Dior Forever Skin Glow,5,2025-09-16 02:56:02+00:00,PandaMochi,"I think I may have found my holy grail foundation! It was a long struggle as I was deciding between lancome teint idol, dior forever skin glow/matte or haus lab foundation.  I first bought lancome, it was alright but I wasn't loving it and for the price I should be loving it, so I went back and exchanged it for dior. 

I usually go for matte cause i like a soft blur effect (especially around the pores).  Although I always wanted a radiant finish too, I was worried it would look oily or emphasize my texture and pores. However, based on my various research (youtube video), many reported the matte and skin glow version bring similar with slight difference in finish. With the weather getting colder, i do want my skin to be more hydrated, so i got skin glow, and im loving it. It has a slight satin effect at first, especially with powder. The glow becomes more apparent over time, but it won't look oily but actually more skin like with a healthy hydrated look. It's still transfer proof and longevity it good too. By the 9h work, it started to separate but only a little, and it's very easy to fix up without it affecting the rest of the face.

I actually compared it with haus lab (i got a sample) cause I heard great things about it, and i really love how haus lab looked on my hand when I was swatch both in the store. It was smoother and more radiant than dior but also seems it would transfer more. When trying both on with powder, the transfer is no longer an issue. Interestingly, at first, haus lab looked more radiant AND powdery than dior, which looks soft and skin like. But after a while, both looked skin like but haus lab did settle into my pores a bit more. It also doesn't last as long as dior, since it started breaking apart around the 7h mark, but like dior it's easy to fix up without it affecting rest of the face.",77 CAD
bazaarvoice,sephora_ca,2558054,Dior Forever Skin Glow,5,2025-08-16 03:04:05+00:00,pbutter234,"Absolutely loving it. It gives such a smooth and satin finish, gives decent coverage without being cakey at all. I have normal to dry skin, and this does not oxidize on me. I find it to be the same shade after many hours. I will say try the shade in store though because I usually use warm, but this foundation I use neutral. Shout out to Paula for helping me shade match.",77 CAD
